1,,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,Your Username cannot be empty,,,,,,,,,,
2,fmsadmin,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,Username already exists! Please try a different Username,,,,,,,,,,
3,fmsfacility,fmsadm,fmsadm,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,Password should have atleast 8 characters but not exceed 12,,,,,,,,,
4,fmsfacility,fmsfacili,fmsfacili,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,Your password must contain atleast 1 special character & 1 number,,,,,,,,,
5,fmsfacility,fmsfacili1@,fmsadmi,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,The passwords don't match,,,,,,,,
6,fmsfacility,fmsfacili1@,fmsfacili1@,,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,First Name cannot be empty,,,,,,,
7,fmsfacility,fmsfacili1@,fmsfacili1@,123,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,First Name should only have alphabets,,,,,,,
10,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,2738289,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,,UTA ID should be a 10-digit number,,,,,
11,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,123456789a,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,,,Please enter a valid 10-digit phone number,,,,
12,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,,,,Email cannot be empty ,,,
13,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,adm,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,,,,Please enter a valid email address,,,
14,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,,Arlington,TX,76013,Please correct the following:,,,,,,,,,Address cannot be empty,,
15,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,123,Arlington,TX,76013,Please correct the following:,,,,,,,,,Street address should be between 5 and 30 characters long,,
16,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,,TX,76013,Please correct the following:,,,,,,,,,,City cannot be empty,
8,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,Last Name cannot be empty,,,,,,
9,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,facil10,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,76013,Please correct the following:,,,,,Last Name should only have alphabets,,,,,,
17,fmsfacility,fmsfacili1@,fmsfacili1@,FMf,Facility,1234567999,Admin,9876347801,Facility@uta.com,1234 Main St,Arlington,TX,7601,Please correct the following:,,,,,,,,,,,Zip code should be a 5-digit number
